time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-01-24T18:24:04.128Z,42.092,144.9053,10,4.8,mww,,174,1.304,0.71,us,us7000d2y6,2021-01-24T18:38:04.040Z,"107 km SSE of Kushiro, Japan",earthquake,7.8,1.4,0.098,10,reviewed,us,us
2021-01-24T18:11:01.330Z,-61.7017,-55.2097,10,4.8,mb,,57,1.717,1,us,us7000d2y4,2021-01-24T18:23:11.040Z,"South Shetland Islands",earthquake,7.2,1.9,0.121,21,reviewed,us,us
2021-01-24T15:11:14.079Z,-52.9292,10.0844,10,5.1,mb,,94,19.656,0.56,us,us7000d2xc,2021-01-24T15:28:51.040Z,"southwest of Africa",earthquake,12.3,1.9,0.114,26,reviewed,us,us
2021-01-24T14:26:39.854Z,9.0479,126.4787,17.09,5.2,mww,,90,2.157,1.09,us,us7000d2x8,2021-01-25T18:34:24.688Z,"24 km ENE of Bacolod, Philippines",earthquake,9.7,4.5,0.071,19,reviewed,us,us
2021-01-24T13:40:49.574Z,-61.8199,-55.3951,10,4.9,mb,,77,1.596,0.45,us,us7000d2wz,2021-01-24T14:08:02.040Z,"South Shetland Islands",earthquake,6.7,1.7,0.096,34,reviewed,us,us
2021-01-24T13:03:29.357Z,-4.4557,102.5367,56.3,5.1,mb,,83,0.428,0.6,us,us7000d2wn,2021-01-24T14:48:40.040Z,"78 km SSE of Bengkulu, Indonesia",earthquake,6.9,5.2,0.068,69,reviewed,us,us
2021-01-24T12:14:45.408Z,-61.778,-55.3732,10,5.5,mww,,56,1.618,0.7,us,us7000d2wh,2021-01-25T14:20:04.038Z,"South Shetland Islands",earthquake,4.6,1.8,0.059,28,reviewed,us,us
2021-01-24T10:26:06.726Z,-58.4113,-14.6216,10,4.9,mb,,66,14.163,0.67,us,us7000d2vx,2021-01-24T10:48:53.040Z,"east of the South Sandwich Islands",earthquake,12.4,1.9,0.097,33,reviewed,us,us
2021-01-24T10:06:23.736Z,-21.995,-176.3423,99.23,4.8,mb,,140,9.136,0.76,us,us7000d2vp,2021-01-24T10:30:19.040Z,"Fiji region",earthquake,12.2,6.6,0.105,28,reviewed,us,us
2021-01-24T09:29:48.937Z,-14.579,166.7808,35,4.9,mb,,47,0.954,0.89,us,us7000d2vl,2021-01-24T09:50:24.040Z,"60 km NNW of Port-Olry, Vanuatu",earthquake,8.1,2,0.051,120,reviewed,us,us
